n,b,sample_size,start,stop,treedist
247,14,25,250,350,3.32E+00
248,14,25,300,400,7.14E+00
249,14,25,350,450,2.94E+00
250,14,25,400,500,2.94E+00
251,14,25,450,550,3.08E+00
252,14,25,500,600,2.56E+00
253,14,25,550,650,3.18E+00
254,14,25,600,700,2.30E+00
255,14,25,650,750,1.73E+00
256,14,25,700,800,1.26E+00
257,14,25,750,850,7.09E-01
258,14,25,800,900,4.14E-01
259,14,25,850,950,6.51E-01
260,15,25,0,100,4.15E+00
261,15,25,50,150,1.78E+00
262,15,25,100,200,1.07E+00
263,15,25,150,250,1.27E+00
264,15,25,200,300,1.61E+00
265,15,25,250,350,1.65E+00
266,15,25,300,400,1.60E+00
267,15,25,350,450,1.49E+00
268,15,25,400,500,1.49E+00
269,15,25,450,550,1.26E+00
270,15,25,500,600,1.68E+00
271,15,25,550,650,1.82E+00
272,15,25,600,700,1.39E+00
273,15,25,650,750,1.31E+00
274,15,25,700,800,1.06E+00
275,15,25,750,850,6.47E-01
276,15,25,800,900,7.12E-01
277,15,25,850,950,8.12E-01
278,16,25,0,100,2.38E+00
279,16,25,50,150,3.41E+00
280,16,25,100,200,1.65E+00
281,16,25,150,250,4.30E+00
282,16,25,200,300,4.89E+00
283,16,25,250,350,2.52E+00
284,16,25,300,400,2.40E+00
285,16,25,350,450,2.03E+00
286,16,25,400,500,2.02E+00
287,16,25,450,550,1.47E+00
288,16,25,500,600,1.76E+00
289,16,25,550,650,1.81E+00
290,16,25,600,700,1.91E+00
291,16,25,650,750,1.30E+00
292,16,25,700,800,1.58E+00
293,16,25,750,850,1.13E+00
294,16,25,800,900,1.14E+00
295,16,25,850,950,1.38E+00
296,17,25,0,100,4.32E+00
297,17,25,50,150,2.08E+00
298,17,25,100,200,1.04E+00
299,17,25,150,250,2.30E+00
300,17,25,200,300,2.35E+00
301,17,25,250,350,1.61E+00
302,17,25,300,400,1.34E+00
303,17,25,350,450,1.31E+00
304,17,25,400,500,1.31E+00
305,17,25,450,550,1.33E+00
306,17,25,500,600,1.35E+00
307,17,25,550,650,1.50E+00
308,17,25,600,700,1.49E+00
309,17,25,650,750,1.22E+00
310,17,25,700,800,5.86E-01
311,17,25,750,850,5.85E-01
312,17,25,800,900,5.79E-01
313,17,25,850,950,6.20E-01
314,18,25,0,100,9.16E-01
315,18,25,50,150,1.01E+00
316,18,25,100,200,1.39E+00
317,18,25,150,250,1.69E+00
318,18,25,200,300,1.73E+00
319,18,25,250,350,1.54E+00
320,18,25,300,400,2.44E+00
321,18,25,350,450,1.94E+00
322,18,25,400,500,1.93E+00
323,18,25,450,550,2.17E+00
324,18,25,500,600,2.78E+00
325,18,25,550,650,3.99E+00
326,18,25,600,700,1.98E+00
327,18,25,650,750,1.63E+00
328,18,25,700,800,1.21E+00
329,18,25,750,850,7.63E-01
330,18,25,800,900,4.69E-01
331,18,25,850,950,7.87E-01
332,19,25,0,100,2.61E+00
333,19,25,50,150,1.79E+00
