n,b,sample_size,start,stop,treedist
n,b,sample_size,start,stop,treedist
15,14,25,700,800,1.262693e+00
15,14,25,750,850,7.094476e-01
15,14,25,800,900,4.135791e-01
15,14,25,850,950,6.506949e-01
16,15,25,0,100,4.152342e+00
16,15,25,50,150,1.782114e+00
16,15,25,100,200,1.071857e+00
16,15,25,150,250,1.268742e+00
16,15,25,200,300,1.609623e+00
16,15,25,250,350,1.646243e+00
16,15,25,300,400,1.599438e+00
16,15,25,350,450,1.494181e+00
16,15,25,400,500,1.493829e+00
16,15,25,450,550,1.261525e+00
16,15,25,500,600,1.677365e+00
16,15,25,550,650,1.821622e+00
16,15,25,600,700,1.386791e+00
16,15,25,650,750,1.307668e+00
16,15,25,700,800,1.059105e+00
16,15,25,750,850,6.467081e-01
16,15,25,800,900,7.119486e-01
16,15,25,850,950,8.119845e-01
17,16,25,0,100,2.376777e+00
17,16,25,50,150,3.411066e+00
17,16,25,100,200,1.652966e+00
17,16,25,150,250,4.295471e+00
17,16,25,200,300,4.885436e+00
17,16,25,250,350,2.522039e+00
17,16,25,300,400,2.403721e+00
17,16,25,350,450,2.034968e+00
17,16,25,400,500,2.018069e+00
17,16,25,450,550,1.467299e+00
17,16,25,500,600,1.759671e+00
17,16,25,550,650,1.808795e+00
17,16,25,600,700,1.911794e+00
17,16,25,650,750,1.301551e+00
17,16,25,700,800,1.578179e+00
17,16,25,750,850,1.131564e+00
17,16,25,800,900,1.140933e+00
17,16,25,850,950,1.381419e+00
18,17,25,0,100,4.317652e+00
18,17,25,50,150,2.081507e+00
18,17,25,100,200,1.041614e+00
18,17,25,150,250,2.304206e+00
18,17,25,200,300,2.347203e+00
18,17,25,250,350,1.613420e+00
18,17,25,300,400,1.344319e+00
18,17,25,350,450,1.311016e+00
18,17,25,400,500,1.313561e+00
18,17,25,450,550,1.332499e+00
18,17,25,500,600,1.347816e+00
18,17,25,550,650,1.504878e+00
18,17,25,600,700,1.487391e+00
18,17,25,650,750,1.216001e+00
18,17,25,700,800,5.860814e-01
18,17,25,750,850,5.854294e-01
18,17,25,800,900,5.786158e-01
18,17,25,850,950,6.203769e-01
19,18,25,0,100,9.156123e-01
19,18,25,50,150,1.007092e+00
19,18,25,100,200,1.389124e+00
19,18,25,150,250,1.688134e+00
19,18,25,200,300,1.734881e+00
19,18,25,250,350,1.536857e+00
19,18,25,300,400,2.441882e+00
19,18,25,350,450,1.937023e+00
19,18,25,400,500,1.928986e+00
19,18,25,450,550,2.167410e+00
19,18,25,500,600,2.782738e+00
19,18,25,550,650,3.988882e+00
19,18,25,600,700,1.977141e+00
19,18,25,650,750,1.626002e+00
19,18,25,700,800,1.208635e+00
19,18,25,750,850,7.626027e-01
19,18,25,800,900,4.685405e-01
19,18,25,850,950,7.872518e-01
20,19,25,0,100,2.605311e+00
20,19,25,50,150,1.794620e+00
20,19,25,100,200,1.071278e+00
20,19,25,150,250,2.314391e+00
20,19,25,200,300,2.212873e+00
20,19,25,250,350,2.183972e+00
20,19,25,300,400,2.162797e+00
20,19,25,350,450,2.210410e+00
20,19,25,400,500,2.208289e+00
20,19,25,450,550,1.961620e+00
20,19,25,500,600,3.165773e+00
20,19,25,550,650,4.251022e+00
20,19,25,600,700,4.279582e+00
20,19,25,650,750,2.336705e+00
20,19,25,700,800,1.897683e+00
20,19,25,750,850,6.788078e-01
20,19,25,800,900,6.409216e-01
20,19,25,850,950,1.170202e+00
21,20,25,600,700,2.497338e+00
21,20,25,650,750,1.937663e+00
21,20,25,700,800,2.470983e+00
21,20,25,750,850,5.370657e-01
21,20,25,800,900,5.666972e-01
21,20,25,850,950,8.252247e-01
22,21,25,50,150,8.473115e-01
22,21,25,100,200,1.058780e+00
22,21,25,150,250,8.972711e-01
22,21,25,200,300,1.964529e+00
22,21,25,250,350,1.684771e+00
22,21,25,300,400,1.435364e+00
22,21,25,350,450,1.040137e+00
22,21,25,400,500,1.038997e+00
22,21,25,450,550,1.227690e+00
22,21,25,500,600,1.050481e+00
22,21,25,550,650,1.221122e+00
22,21,25,600,700,1.024363e+00
22,21,25,650,750,9.345414e-01
22,21,25,700,800,6.715184e-01
22,21,25,750,850,5.312628e-01
22,21,25,800,900,4.752785e-01
22,21,25,850,950,4.519687e-01
23,22,25,0,100,1.570090e+00
23,22,25,50,150,1.492567e+00
23,22,25,100,200,1.081097e+00
23,22,25,150,250,1.431419e+00
23,22,25,200,300,1.686215e+00
23,22,25,250,350,1.591394e+00
23,22,25,300,400,1.967693e+00
23,22,25,350,450,2.504294e+00
23,22,25,400,500,2.520761e+00
23,22,25,450,550,1.164773e+00
23,22,25,500,600,1.379327e+00
23,22,25,550,650,1.287918e+00
23,22,25,600,700,1.194087e+00
23,22,25,650,750,1.187753e+00
23,22,25,700,800,7.135675e-01
23,22,25,750,850,7.320002e-01
23,22,25,800,900,5.684342e-01
23,22,25,850,950,5.923192e-01
24,23,25,0,100,5.127963e+00
24,23,25,50,150,3.191000e+00
24,23,25,100,200,1.954043e+00
24,23,25,150,250,2.831031e+00
24,23,25,200,300,3.275061e+00
24,23,25,250,350,3.287389e+00
24,23,25,300,400,3.477838e+00
24,23,25,350,450,2.991058e+00
24,23,25,400,500,2.994933e+00
24,23,25,450,550,3.756353e+00
24,23,25,500,600,4.020288e+00
24,23,25,550,650,8.456012e+00
24,23,25,600,700,3.753851e+00
24,23,25,650,750,2.651531e+00
24,23,25,700,800,1.762222e+00
24,23,25,750,850,1.559440e+00
24,23,25,800,900,1.024618e+00
24,23,25,850,950,1.040603e+00
25,24,25,0,100,7.352108e+00
25,24,25,50,150,3.747936e+00
25,24,25,100,200,1.279356e+00
25,24,25,150,250,2.343457e+00
25,24,25,200,300,3.300696e+00
25,24,25,250,350,3.136178e+00
25,24,25,300,400,3.317458e+00
25,24,25,350,450,3.084734e+00
25,24,25,400,500,3.097214e+00
25,24,25,450,550,2.459658e+00
25,24,25,500,600,4.331885e+00
25,24,25,550,650,1.392493e+01
25,24,25,600,700,4.204243e+00
25,24,25,650,750,2.487563e+00
25,24,25,700,800,1.296346e+00
25,24,25,750,850,8.177418e-01
25,24,25,800,900,8.147391e-01
25,24,25,850,950,1.332163e+00
26,25,25,0,100,1.891287e+00
26,25,25,50,150,1.935360e+00
26,25,25,100,200,1.599383e+00
26,25,25,150,250,1.436647e+00
26,25,25,200,300,1.798194e+00
26,25,25,250,350,1.438340e+00
26,25,25,300,400,1.567297e+00
26,25,25,350,450,1.544263e+00
26,25,25,400,500,1.547010e+00
26,25,25,450,550,1.260462e+00
26,25,25,500,600,1.566468e+00
26,25,25,550,650,2.113674e+00
26,25,25,600,700,1.191392e+00
26,25,25,650,750,9.645103e-01
26,25,25,700,800,1.291943e+00
26,25,25,750,850,1.246107e+00
26,25,25,800,900,8.777150e-01
26,25,25,850,950,1.151610e+00
27,26,25,0,100,1.894097e+00
27,26,25,50,150,1.658677e+00
27,26,25,100,200,9.809895e-01
27,26,25,150,250,5.039254e+00
27,26,25,200,300,2.815080e+00
27,26,25,250,350,4.042786e+00
27,26,25,300,400,3.196165e+00
27,26,25,350,450,2.901893e+00
27,26,25,400,500,2.901799e+00
27,26,25,450,550,1.630348e+00
27,26,25,500,600,2.272959e+00
27,26,25,550,650,3.016270e+00
27,26,25,600,700,1.626316e+00
27,26,25,650,750,1.346695e+00
27,26,25,700,800,1.276132e+00
27,26,25,750,850,9.149918e-01
27,26,25,800,900,8.091186e-01
27,26,25,850,950,8.711742e-01
28,27,25,0,100,1.208989e+00
28,27,25,50,150,1.284157e+00
28,27,25,100,200,1.833726e+00
28,27,25,150,250,2.048024e+00
28,27,25,200,300,3.027295e+00
28,27,25,250,350,2.448360e+00
